i,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,TPOT_maximizer,AK_maximizer,polynomial,n_variables,n_terms,degree,best_pars_coef,y_std,y_mean,y_abs_mean,y_range,r2
1022,5000,0.05,0.241292872,41.97913313,0.241639659,0.241311437,0.247021488,0.246552115,0.241422099,602.4482725,600.2314131,32.83868074,41.45004606,5.853283277,50,"['add', 'sub', 'mul', 'div']",,10,0.241311437,0.246552115,5*x1,1,5,1,0.04,5.7309,-0.0315,4.9361,20.735,0.9982986
1023,5000,0.05,4.662768804,54.63618445,2.463568913,3.141979594,4.350286302,1.6365847,18.94992947,613.7308335,601.4490149,670.2656655,260.8368309,19.24260551,50,"['add', 'sub', 'mul', 'div']",,10,3.141979594,1.6365847,x1**3*x3**3 + x1**2*x2**3*x3**3 + x1*x2*x3**2 + x1 + x3**3,3,5,3,0.005,18.391,-0.3525,7.8353,410.95,0.03012291
1024,5000,0.05,0.140026141,45.19714642,0.287111457,0.140306771,0.174196301,0.145802331,2.390399469,605.1654181,600.5577726,134.5945618,50.63270998,3.951509134,50,"['add', 'sub', 'mul', 'div']",,10,0.140306771,0.145802331,x1**2*x3 + x2*x3**2 + x2*x3 + x2,3,4,3,0.005,3.854,-0.0093,2.7173,31.766,0.633719897
1025,5000,0.05,2.337633893,46.87586832,1.059511069,0.544080098,0.388130061,0.366479607,5.791112952,605.3120902,601.9044948,216.7715557,194.3766844,6.74760582,50,"['add', 'sub', 'mul', 'div']",,10,1.059511069,0.366479607,x3*(x1*x2**3 + x2**2*x3**2 + x3),3,3,3,0.01,6.7353,1.4982,3.5502,113.9,0.263367362
1026,5000,0.05,0.076958245,42.18902469,0.323902291,0.07691414,0.139528091,0.080986499,1.582472687,601.2686875,606.1593266,99.13415885,62.71295476,1.952344481,50,"['add', 'sub', 'mul', 'div']",,10,0.323902291,0.080986499,x1*x3*x4 + x2,4,2,1,0.04,1.9228,-0.0237,1.4927,16.515,0.337004852
1027,5000,0.05,0.225099116,45.63034725,0.307866995,0.224980905,0.274455809,0.242557533,3.94616507,603.1703451,602.0260689,167.5866678,36.09885788,6.587575325,50,"['add', 'sub', 'mul', 'div']",,10,0.307866995,0.242557533,x1**3 + x1**2*x2**3 + x2,2,3,3,0.04,7.1584,-0.012,4.5138,74.704,0.641115388
1028,5000,0.05,17.00264381,54.4823091,15.24857667,10.05965121,14.09899497,10.13459078,33.43801107,601.0468614,603.0073884,1052.367106,107.1688821,34.20183063,50,"['add', 'sub', 'mul', 'div']",,10,10.05965121,10.13459078,x1**3*x2**2*x3**2*x4**3 + x1**2*x2**3*x3**2*x4**2 + x1*x3**3*x4**2 + x2*x4**3 + x3,4,5,3,0.005,32.702,-0.0225,9.4082,1046.5,0.044111941
1029,5000,0.05,19.59887144,42.4185338,16.59063452,9.778628387,9.415088046,10.78238558,26.32376398,600.7953799,606.8869791,1153.017686,103.4576647,26.3554517,50,"['add', 'sub', 'mul', 'div']",,10,16.59063452,9.415088046,x1**2*x3*(x1*x2*x3**2*x4**2*x5 + x1*x4*x5 + x3**2*x5 + x3),5,4,3,0.03,22.96,1.863,7.0884,761.45,0.000821888
1030,5000,0.05,0.71426884,46.44062042,0.841911022,0.102719112,0.375378553,0.112148354,3.708621331,605.939409,600.6733999,381.7992029,64.68813848,3.719013687,50,"['add', 'sub', 'mul', 'div']",,10,0.102719112,0.112148354,2*x1*x2*x3*x4,4,2,1,0.03,3.547,0.0222,1.9924,47.612,0.003131434
1031,5000,0.05,0.096820115,42.3166914,0.107618982,0.096886824,0.108521353,0.099109613,1.78614184,609.5422208,602.6341865,89.11634493,32.30054736,2.312284611,50,"['add', 'sub', 'mul', 'div']",,10,0.107618982,0.099109613,x2*(x1**2 + x2),2,2,2,0.005,2.4339,1.3837,1.9343,15.729,0.402906582
1032,5000,0.05,0.121407859,25.52804208,0.229274689,0.121466926,0.213095545,0.137404871,3.282975259,610.160394,600.2792182,161.6506441,29.1252861,3.441955562,50,"['add', 'sub', 'mul', 'div']",,10,0.121466926,0.137404871,x2*(2*x1*x3 + x3 + 1),3,4,1,0.005,3.5409,0.0539,2.3528,34.875,0.089749153
1033,5000,0.05,0.250273315,25.92380857,0.250222144,0.251073532,0.253367897,0.253171472,0.25024993,601.3481815,600.0694561,13.19956255,12.7308538,5.836853219,50,"['add', 'sub', 'mul', 'div']",,10,0.250222144,0.253367897,5*x1,1,5,1,0.005,5.8187,-0.0776,5.0748,21.072,0.998159779
1034,5000,0.05,0.087637491,25.61848974,0.100180016,0.087642948,0.124850288,0.098689072,2.071501271,602.0733685,601.5885859,62.12578392,20.40168524,2.393985642,50,"['add', 'sub', 'mul', 'div']",,10,0.087642948,0.098689072,x1*x2*x3 + x1*x3 + x2,3,3,1,0.03,2.3531,0.0043,1.7064,21.54,0.251144802
1035,5000,0.05,1.811545201,25.7595439,0.809958063,0.937076563,0.369423221,0.313995036,2.826545466,600.3416862,600.2595377,260.0007334,159.3703184,3.037981027,50,"['add', 'sub', 'mul', 'div']",,10,0.937076563,0.313995036,x1*x2*x3 + x1*x2*x5 + x2*x3*x4*x5 + x5,5,4,1,0.03,3.0663,0.059,2.0638,44.102,0.132627302
1036,5000,0.05,2.669822411,25.57408428,1.607418081,0.729166227,0.541947738,0.385177012,4.140021784,600.2712016,602.4677191,196.4394066,109.5211432,4.138086574,50,"['add', 'sub', 'mul', 'div']",,10,1.607418081,0.385177012,x3**2*(x1*x2*x4**2 + 1),4,2,2,0.005,3.9658,1.2424,2.2304,84.477,-0.000944641
1037,5000,0.05,0.325561455,31.95337343,4.266304184,0.326142297,2.403990869,0.377270043,16.31580338,639.1491332,602.6816051,263.0795105,82.41504526,16.75981533,50,"['add', 'sub', 'mul', 'div']",,10,4.266304184,0.377270043,x1**2*x2**3*x3**3 + x1**2*x2**2*x3 + x1*x2**3*x3 + x2**2 + x3**3,3,5,3,0.01,16.084,1.2496,6.7771,403.84,0.052282914
1038,5000,0.05,1.79453986,25.42692924,0.567109757,0.482191369,0.26504039,0.189275472,2.919054344,600.4887462,606.2010109,167.7861247,152.8452318,3.055098789,50,"['add', 'sub', 'mul', 'div']",,10,0.567109757,0.189275472,x3*(x1*x2*x4 + x1*x3*x4 + 1),4,3,2,0.005,3.122,-0.0582,1.8998,46.098,0.085974725
1039,5000,0.05,0.087119576,25.49166369,0.087181591,0.087133064,0.090269363,0.089857845,1.170616895,629.0611427,601.7373247,24.70581031,24.77788615,1.685473463,50,"['add', 'sub', 'mul', 'div']",,10,0.087133064,0.089857845,x1 + x2**2,2,2,2,0.005,1.678,1.3306,1.7184,8.1975,0.516779226
