i,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,TPOT_maximizer,AK_maximizer,polynomial,n_variables,n_terms,degree,best_pars_coef,y_std,y_mean,y_abs_mean,y_range,r2
312,5000,0.02,0.045612991,42.27500224,0.06246489,0.04561194,0.068434111,0.053207192,1.345198683,600.8512375,600.2397931,70.07130814,33.90431833,3.018998902,50,"['add', 'sub', 'mul', 'div']",,10,0.06246489,0.053207192,x1*x2 + 2*x1 + x2,2,4,1,0.005,2.9585,0.0542,2.3743,15.886,0.801457817
313,5000,0.02,15.88537668,45.19220805,11.7905666,9.789072132,7.368419427,3.012529333,21.66576433,611.6218324,601.0175557,553.6244469,726.2468073,21.67390969,50,"['add', 'sub', 'mul', 'div']",,10,11.7905666,3.012529333,x4**2*(x1**2*x2**3*x3*x4 + x1*x2 + x3**2),4,3,3,0.05,19.514,2.0224,6.4249,558.08,0.00033386
314,5000,0.02,0.03306244,25.57010961,0.033123052,0.033036127,0.047997363,0.040895532,1.335868254,601.2630351,601.387521,43.11038947,25.9949367,2.105447906,50,"['add', 'sub', 'mul', 'div']",,10,0.033123052,0.040895532,x1 + x2*x3 + x2,3,3,1,0.005,2.1227,-0.0125,1.6591,14.475,0.597393831
315,5000,0.02,29.19436481,31.15475583,56.53277374,29.95549699,64.35470696,30.80876759,82.7673319,600.4860446,601.0705318,237.0667787,17.10072803,82.21375355,50,"['add', 'sub', 'mul', 'div']",,10,56.53277374,30.80876759,x1**2*x2**3*(x1*x3**3*x4**3*x5 + x1*x4**3*x5**2 + x3),5,3,3,0.005,93.079,-1.4039,20.41,4017.9,-0.014130377
316,5000,0.02,0.044160236,25.40726185,0.264224366,0.044202783,0.135220876,0.049949088,3.047450972,600.6190183,601.3663111,113.727345,41.22983432,3.224441518,50,"['add', 'sub', 'mul', 'div']",,10,0.264224366,0.049949088,x1*(2*x2*x3 + 1),3,3,1,0.005,3.2722,-0.0653,2.1973,30.419,0.106603724
317,5000,0.02,9.650340623,26.19122672,4.30716341,4.849990651,2.196741165,2.08073883,10.07971751,601.9173727,609.7827411,249.9892275,240.6250122,10.9849169,50,"['add', 'sub', 'mul', 'div']",,10,4.30716341,2.196741165,x2*(x1**2*x2*x3*x4**2 + x1*x3**2*x4**2 + x2*x3**2*x4 + 1),4,4,2,0.01,9.1069,0.0847,3.7301,265.79,0.157647489
318,5000,0.02,0.066746058,28.04726028,0.066839034,0.066846026,0.070774628,0.068965816,2.35439984,601.6029718,600.2705541,26.6941793,18.77357864,4.200799831,50,"['add', 'sub', 'mul', 'div']",,10,0.066839034,0.068965816,x1*(2*x1 + 3),1,5,2,0.01,4.2116,2.6401,3.2321,15.295,0.68573608
319,5000,0.02,0.025013277,25.59963679,0.025036965,0.025015534,0.038454285,0.029613221,1.332082131,600.7625504,602.8654318,36.43810487,17.05130577,1.766454202,50,"['add', 'sub', 'mul', 'div']",,10,0.025036965,0.029613221,x2*(x1 + 1),2,2,2,0.005,1.7493,-0.0417,1.2466,11.302,0.430650514
320,5000,0.02,0.034818467,26.45404363,0.034830355,0.034806065,0.043230519,0.041998005,1.779051309,601.6034141,600.7447276,44.18448973,34.1418798,2.15774133,50,"['add', 'sub', 'mul', 'div']",,10,0.034830355,0.041998005,x2*(x1 + x2 + 1),2,3,2,0.005,2.108,1.3174,1.6848,11.787,0.320155097
321,5000,0.02,0.043337714,26.71742582,0.308332692,0.043484349,0.110617457,0.058708992,3.451384154,603.9718666,600.3017964,115.7524626,29.18706775,3.442979379,50,"['add', 'sub', 'mul', 'div']",,10,0.308332692,0.058708992,x2*x3*(2*x1 + 1),3,3,1,0.02,3.2996,0.0293,2.0927,36.001,-0.006461284
322,5000,0.02,3.667714945,29.42478871,3.03987032,1.61390308,1.078395838,0.676578015,7.307636358,602.8619456,605.4838083,205.0733564,304.9308028,7.613572791,50,"['add', 'sub', 'mul', 'div']",,10,1.61390308,0.676578015,x3*x4**2*(x1*x3 + x2**3),4,2,3,0.05,7.2728,-0.0967,3.4844,136.6,0.076969431
323,5000,0.02,1.577622461,24.84113955,0.551647349,0.025230378,0.064743436,0.08426792,2.116860735,607.0154107,603.1767924,108.1156821,69.16522121,2.119102049,50,"['add', 'sub', 'mul', 'div']",,10,0.025230378,0.064743436,x3*x4*(x5 + 1),5,2,1,0.005,2.0222,-0.0364,1.2538,21.407,0.002113134
324,5000,0.02,1.696720286,24.66133189,0.683117082,0.726132177,0.204450435,0.239150364,2.118873199,602.7966306,606.7776976,155.130753,231.2545633,2.107615425,50,"['add', 'sub', 'mul', 'div']",,10,0.726132177,0.239150364,x5*(x1*x2*x3 + x4),5,2,1,0.005,2.1704,0.01,1.4637,26.328,-0.012560498
325,5000,0.02,0.059081067,25.11191463,0.05909955,0.059040815,0.060711136,0.059327863,0.059081212,600.4476674,627.9822776,19.20664811,20.06824732,3.410898726,50,"['add', 'sub', 'mul', 'div']",,10,0.059040815,0.059327863,3*x1,1,3,2,0.005,3.433,0.0154,2.9705,12.187,0.999699707
326,5000,0.02,0.050385778,25.33301878,0.681776415,0.050378396,0.445391284,0.066454442,3.568485914,604.1082473,602.9968054,428.9547944,35.81383491,3.822015159,50,"['add', 'sub', 'mul', 'div']",,10,0.681776415,0.066454442,2*x1*x2*x3*x4 + x1 + x2,4,4,1,0.04,3.8525,0.0121,2.5201,48.363,0.126910868
327,5000,0.02,0.022779175,24.97510076,0.029643354,0.022815277,0.076560613,0.034847873,1.954851576,602.0474362,601.3093998,91.80290532,24.1027391,1.95397592,50,"['add', 'sub', 'mul', 'div']",,10,0.022815277,0.034847873,x1*x2*(x3 + 1),3,2,1,0.005,1.9959,0.0083,1.2208,20.691,-0.002313321
328,5000,0.02,0.059273204,25.53033638,0.087823288,0.059272063,0.064923013,0.066628507,2.375221545,604.1631825,600.3130109,37.04161048,36.893718,2.618643398,50,"['add', 'sub', 'mul', 'div']",,10,0.087823288,0.064923013,2*x1**2 + x2,2,3,3,0.005,2.6585,2.6714,2.9487,11.953,0.177095023
329,5000,0.02,0.076646707,27.02722239,0.078882363,0.076525307,0.080802373,0.080142424,3.600121157,600.3632548,601.2102859,37.0506835,23.20214987,3.594998086,50,"['add', 'sub', 'mul', 'div']",,10,0.078882363,0.080142424,3*x1**2,1,3,2,0.01,3.5416,3.9079,3.9116,12.334,-0.003093792
330,5000,0.02,0.048112529,27.84689689,1.350551134,0.048107663,0.537376493,0.058777151,4.522914654,602.035574,601.9462321,151.3556154,69.06244779,4.774686642,50,"['add', 'sub', 'mul', 'div']",,10,1.350551134,0.058777151,x1*x4**2*(x2**2*x3 + 1),4,2,2,0.005,4.8861,0.0603,2.4036,96.38,0.101897192
331,5000,0.02,1.446922025,25.58046985,0.635564118,0.405108766,0.226668599,0.182774274,3.6259709,602.2797387,604.9463999,177.9724877,231.1233687,3.778988155,50,"['add', 'sub', 'mul', 'div']",,10,0.635564118,0.182774274,x1*x2*x4 + x2 + x3**3*x4,4,3,3,0.02,3.9465,-0.0136,2.6508,39.156,0.076167146
332,5000,0.02,0.0666587,27.14471674,0.40138246,0.066668124,0.13747629,0.079745873,3.160599506,613.3553736,600.2566102,90.47163653,40.55173159,3.3851838,50,"['add', 'sub', 'mul', 'div']",,10,0.066668124,0.079745873,x1**2*x3**2 + x1 + x2**2 + x2*x3,3,4,3,0.005,3.3599,3.1282,3.2579,25.247,0.128059775
333,5000,0.02,0.058998489,26.07986689,0.058883026,0.05899197,0.06114314,0.059813848,0.058988432,602.0340254,602.0170271,23.80042815,17.24878335,3.438872096,50,"['add', 'sub', 'mul', 'div']",,10,0.058883026,0.059813848,3*x1,1,3,1,0.01,3.4778,0.0141,3.0196,12.144,0.999704807
334,5000,0.02,0.042751201,28.02754498,0.210782275,0.042792413,0.143825907,0.053115474,3.329500627,605.5270412,600.7710569,109.727771,34.38175368,3.327469195,50,"['add', 'sub', 'mul', 'div']",,10,0.042792413,0.053115474,x1*x2*(2*x3 + 1),3,3,1,0.005,3.4185,0.0446,2.1405,35.096,-0.008573793
335,5000,0.02,0.119946499,27.23773217,0.126233639,0.120011053,0.610230403,0.1391053,13.80491036,603.5985024,601.7666688,191.0168309,37.89241099,14.44307826,50,"['add', 'sub', 'mul', 'div']",,10,0.120011053,0.1391053,x1*x2**3*(x1**2 + x1 + 1),2,3,3,0.05,13.588,-0.328,6.0558,201.84,0.086414888
336,5000,0.02,0.053764159,26.8179605,0.053768205,0.053782094,0.058061574,0.054973651,2.322925503,600.6378496,602.4093304,29.69091964,25.09901452,2.321766123,50,"['add', 'sub', 'mul', 'div']",,10,0.053768205,0.054973651,2*x1**2,1,2,2,0.005,2.3857,2.7108,2.7134,8.2286,-0.001233101
337,5000,0.02,3.093146007,26.66745114,1.181371116,1.286424339,0.519184876,0.38870007,4.526524518,605.4992065,604.6656258,104.695507,148.3433428,5.218862109,50,"['add', 'sub', 'mul', 'div']",,10,1.286424339,0.38870007,x1**2*x3**2 + x1**2*x4 + x2**2*x4**2*x5 + x2**2,5,4,2,0.005,5.1488,3.1229,4.0825,60.737,0.247205816
338,5000,0.02,0.048251788,27.36483431,0.048284309,0.048306401,0.055399357,0.052155727,1.405157905,600.8255296,605.5653384,41.68078136,27.2423799,3.00118531,50,"['add', 'sub', 'mul', 'div']",,10,0.048306401,0.052155727,x1*x2 + 2*x1 + x2,2,4,1,0.005,2.9533,0.0667,2.3604,15.957,0.780785015
339,5000,0.02,1.813611087,26.94652653,0.494350552,0.513928158,0.244137143,0.195185613,2.741213448,604.1652949,601.9058859,144.735534,106.6500449,2.742234081,50,"['add', 'sub', 'mul', 'div']",,10,0.513928158,0.195185613,x2*x4*(x1*x3 + x1 + x3),4,3,1,0.01,2.8978,0.0157,1.6679,47.577,0.000313022
340,5000,0.02,0.048489962,26.50437355,0.339073887,0.048539543,0.182765884,0.07782549,3.753709318,606.1937077,602.6357176,76.64348912,33.13118768,3.94926609,50,"['add', 'sub', 'mul', 'div']",,10,0.048539543,0.07782549,x3*(x1*x2*x3 + x2**2*x3 + 1),3,3,2,0.005,3.7529,1.7785,2.3221,31.819,0.095068772
341,5000,0.02,0.050741796,28.87855339,0.739428065,0.050725369,0.273390878,0.066409644,4.171698076,602.3735571,602.7597077,250.6331289,33.19804263,4.353774625,50,"['add', 'sub', 'mul', 'div']",,10,0.050725369,0.066409644,x2*(x1**3*x3 + 1),3,2,3,0.03,4.2524,-0.0355,2.4548,55.865,0.081786828
342,5000,0.02,0.05040464,28.20718956,0.281787029,0.050488319,0.179394135,0.066234523,3.815130835,600.8809378,601.2112687,73.91338015,31.8354733,3.950410872,50,"['add', 'sub', 'mul', 'div']",,10,0.050488319,0.066234523,2*x1*x2*x3 + x1*x3 + x2*x3 + x2,3,5,1,0.01,3.7291,-0.0408,2.4744,38.007,0.067022885
343,5000,0.02,0.040908438,27.93530464,1.003413154,0.040917698,0.472998883,0.051221638,3.165293429,625.0516262,601.943243,216.2421176,48.49691629,3.166263748,50,"['add', 'sub', 'mul', 'div']",,10,1.003413154,0.051221638,x1*x2*x4 + x1*x3*x5 + x2*x3*x4*x5 + x2*x3*x4,5,4,1,0.01,3.2071,0.0181,2.05,47.351,-0.000284038
344,5000,0.02,0.038199415,24.83190751,0.0381764,0.038236736,0.07052573,0.049220813,2.54125281,602.3062186,602.1061895,48.85111451,36.68132544,2.541381574,50,"['add', 'sub', 'mul', 'div']",,10,0.038236736,0.049220813,2*x1*x2,3,2,1,0.005,2.6118,0.0266,1.9669,15.762,-0.000179051
345,5000,0.02,0.038650819,27.86381173,0.073027865,0.038649195,0.070050204,0.041779634,1.821153739,600.7547774,600.775908,42.5801425,25.16095877,2.398028224,50,"['add', 'sub', 'mul', 'div']",,10,0.038649195,0.041779634,x1*(x1 + x2**2),2,2,2,0.03,2.4275,1.2972,1.8747,15.586,0.423235004
346,5000,0.02,0.054357568,26.46853876,0.054326894,0.054326894,0.055201431,0.055546103,2.434429355,601.3023257,600.1372242,31.82399988,16.66867399,2.4294765,50,"['add', 'sub', 'mul', 'div']",,10,0.054326894,0.055201431,2*x1**2,1,2,2,0.005,2.4091,2.699,2.7012,8.195,-0.004138296
347,5000,0.02,0.04909181,29.36304021,0.056126792,0.049287904,0.129455908,0.062160056,3.485665133,610.6486332,602.2699845,204.3725057,41.05935478,3.736265976,50,"['add', 'sub', 'mul', 'div']",,10,0.049287904,0.062160056,x3*(2*x1*x2 + x1 + 1),3,4,1,0.01,3.6513,0.0023,2.4258,36.141,0.129484979
348,5000,0.02,0.061058018,30.87132597,0.141776241,0.059212535,0.091268615,0.065277719,3.281901454,600.6850235,602.5155075,86.64145422,61.47617555,4.572806364,50,"['add', 'sub', 'mul', 'div']",,10,0.059212535,0.065277719,x1*(2*x1*x2 + x1 + x2 + 1),2,5,2,0.01,4.705,1.2812,2.9106,38.752,0.48294634
349,5000,0.02,0.035948988,25.19350314,0.036245733,0.03598864,0.062803784,0.043768445,1.887510674,604.5182009,602.2783902,80.286201,33.93114758,2.499836067,50,"['add', 'sub', 'mul', 'div']",,10,0.03598864,0.043768445,x2*x3 + x2*x4 + x2 + x3,4,4,1,0.02,2.4894,-0.0496,1.8694,18.603,0.429681324
350,5000,0.02,0.052690967,27.4986465,0.052832698,0.052744317,0.072035627,0.060460326,2.203848712,605.1993144,604.1955903,63.26894259,22.91118741,3.615943719,50,"['add', 'sub', 'mul', 'div']",,10,0.052832698,0.060460326,x1*x2**2 + x1*x2 + x1 + x2**2 + x2,2,5,3,0.005,3.7769,1.4489,2.6465,26.402,0.62852214
351,5000,0.02,0.045634472,42.34161377,0.340023321,0.045681452,0.15789697,0.06107537,3.314577587,620.1151731,600.4884708,208.1739948,46.61240721,3.49049155,50,"['add', 'sub', 'mul', 'div']",,10,0.340023321,0.06107537,2*x1*x2*x3 + x1 + x2*x3,3,4,1,0.01,3.4813,0.0062,2.3163,34.246,0.096161059
352,5000,0.02,3.010120762,39.52179098,2.877879353,0.764268593,0.720803735,0.410269872,6.824466088,602.2136621,613.1912019,365.6530285,242.484035,6.934759709,50,"['add', 'sub', 'mul', 'div']",,10,0.764268593,0.410269872,x1*(x1*x3**3*x4 + 1),4,2,3,0.04,6.1947,-0.0724,3.0194,102.33,0.030792271
353,5000,0.02,2.891783652,36.53927851,1.271482308,1.349239287,0.577788634,0.70656556,3.520081637,614.9566433,605.5101917,309.9752753,343.798717,3.517195387,50,"['add', 'sub', 'mul', 'div']",,10,1.349239287,0.577788634,x1*x2*x3*x4*x5 + x1*x3 + x1*x4 + x2*x3*x4*x5 + x2*x4*x5,5,5,1,0.005,3.6089,0.0038,2.31,54.738,-0.001669684
354,5000,0.02,0.026942159,40.13148975,0.02693654,0.026948346,0.029870474,0.029048989,0.026939597,600.7192316,601.0201147,17.18861866,20.294245,1.572623883,50,"['add', 'sub', 'mul', 'div']",,10,0.02693654,0.029048989,x1 + x2,2,2,1,0.005,1.6325,0.0077,1.342,7.8177,0.999706332
355,5000,0.02,0.038130364,38.10052466,0.038152632,0.038149579,0.046886032,0.042060252,0.038147982,601.7156479,600.742306,16.55779409,18.49501777,2.332084682,50,"['add', 'sub', 'mul', 'div']",,10,0.038149579,0.042060252,2*x1,1,2,1,0.005,2.3058,0.0161,1.9932,8.1159,0.99973232
356,5000,0.02,0.165323083,45.20788383,1.219284362,0.165359815,0.918284191,0.294127134,19.58064605,600.5490389,603.1860278,773.8184819,63.03021359,20.99068414,50,"['add', 'sub', 'mul', 'div']",,10,1.219284362,0.294127134,2*x1**3*x2**3 + 2*x1**2*x2**3 + x2,2,5,3,0.03,20.983,0.113,8.5122,330.8,0.129764269
357,5000,0.02,4.229311073,53.44865465,4.306906028,2.40283073,1.993479841,1.779448288,10.0479919,607.7206569,607.5375021,769.3654628,420.0219271,10.08150332,50,"['add', 'sub', 'mul', 'div']",,10,2.40283073,1.993479841,x2*x3*x4**2*(x1**3*x4 + x3),4,2,3,0.005,12.32,0.1169,4.585,298.71,-2.49E-05
358,5000,0.02,0.101568304,42.03484225,0.101707914,0.101554293,0.102282738,0.103210577,0.101593501,601.9058492,607.2838507,33.93540955,23.02707028,5.656629904,50,"['add', 'sub', 'mul', 'div']",,10,0.101707914,0.102282738,5*x1,1,5,1,0.02,5.7778,-0.0329,5.0053,20.37,0.999677417
359,5000,0.02,1.710401773,41.45629549,1.65807181,1.071460853,0.933992261,0.425951499,8.014659008,603.9877479,600.515763,785.6141112,272.4479954,8.102911515,50,"['add', 'sub', 'mul', 'div']",,10,1.071460853,0.425951499,x2*(x1**2*x3 + x2*x3**2*x4**2 + x3**2*x4**3 + 1),4,4,3,0.005,8.2716,2.1562,3.73,134.32,0.020548961
360,5000,0.02,1.792039103,39.91774631,0.497141418,0.55196692,0.208465734,0.173172688,2.727759345,605.8859749,610.9771686,202.945405,186.6666169,2.957706009,50,"['add', 'sub', 'mul', 'div']",,10,0.55196692,0.173172688,x1*(x2*x3*x4 + x3*x4 + x3 + 1),4,4,1,0.005,3.0186,-0.0187,1.8958,37.381,0.149265037
361,5000,0.02,0.048280885,41.58942866,0.807264053,0.048273762,0.245108696,0.081043593,4.21650765,608.3634598,602.0586543,348.7863123,53.07782388,4.69554413,50,"['add', 'sub', 'mul', 'div']",,10,0.048273762,0.081043593,x2*x3**2*(x1**2 + x2),3,2,2,0.01,4.5713,1.7207,2.4978,53.513,0.193601972
362,5000,0.02,0.053647798,40.50243449,0.081462481,0.053560621,0.066968837,0.066564161,2.678268056,601.0636702,605.160346,65.9100275,35.53878832,3.648136972,50,"['add', 'sub', 'mul', 'div']",,10,0.081462481,0.066968837,2*x1*x2 + x1 + 2*x2,2,5,1,0.005,3.7382,0.0367,2.7584,23.522,0.460699381
363,5000,0.02,0.030511178,38.17083168,0.065524786,0.03053267,0.0399424,0.036790429,1.789946667,601.7555912,600.9826069,72.04941416,49.15879464,1.788397933,50,"['add', 'sub', 'mul', 'div']",,10,0.03053267,0.036790429,x2*(x1 + x2),3,2,2,0.005,1.7963,1.3647,1.5283,8.8708,-0.001788776
364,5000,0.02,18.36228315,44.84908986,16.38511946,11.52767131,9.241636307,7.300397445,24.14421116,609.8974907,614.2394388,671.6818848,319.9141088,24.10816716,50,"['add', 'sub', 'mul', 'div']",,10,11.52767131,7.300397445,x3*(x1**2*x2**3 + x1*x2**3*x3**2*x4**2 + x1*x3*x4*x5**2 + x3**2*x4*x5 + x3),5,5,3,0.005,21.611,1.7738,7.9342,615.68,-0.003809427
365,5000,0.02,0.039025072,38.74898911,0.196281745,0.039052581,0.132206234,0.05625254,3.053250378,610.8545358,604.138958,222.4812136,31.00826406,3.049081684,50,"['add', 'sub', 'mul', 'div']",,10,0.039052581,0.05625254,2*x1*x2*x3,3,2,1,0.01,3.1224,-0.0193,2.0062,28.238,-0.00459232
366,5000,0.02,0.080175945,42.23510408,0.135066304,0.080178012,0.117048425,0.08983041,3.91075385,604.0688663,600.2384143,122.5256941,53.48936439,5.632309342,50,"['add', 'sub', 'mul', 'div']",,10,0.080178012,0.08983041,x1**2*x2 + x1**2 + x1*x2**3 + x2**3,2,4,3,0.01,6.181,1.3465,3.8763,61.013,0.51781526
367,5000,0.02,3.153939681,40.35574198,1.25095171,1.340961846,0.565417341,0.571055899,3.157434214,604.8981941,600.1215093,742.8547561,687.4132638,3.597711194,50,"['add', 'sub', 'mul', 'div']",,10,1.25095171,0.571055899,x1*x2*x3*x4*x5 + x1*x2*x4*x5 + x2*x4*x5 + x2 + x3,5,5,1,0.005,3.5063,-0.0715,2.2667,61.901,0.229742282
368,5000,0.02,1.495325666,57.16754627,0.160843433,0.564164322,0.345589911,0.317725607,6.055368261,605.7906389,606.9310305,342.7497411,449.7614625,7.7287644,50,"['add', 'sub', 'mul', 'div']",,10,0.564164322,0.345589911,x1**3*x3 + x2**2*x3**3 + x2**2*x3 + x2**2,3,4,3,0.005,7.977,1.2253,4.9724,92.186,0.386060252
369,5000,0.02,0.053086661,46.8772006,0.053101717,0.053104751,0.055028531,0.054102735,2.413171733,601.2582297,608.7619426,57.41120887,25.872154,2.41218422,50,"['add', 'sub', 'mul', 'div']",,10,0.053104751,0.054102735,2*x1**2,1,2,3,0.005,2.3745,2.6143,2.617,8.2063,-0.001913928
370,5000,0.02,1.660120415,62.50819302,0.230259006,0.622684864,0.341264287,0.300803593,6.918543092,604.9293475,603.207917,556.1354203,434.7138896,8.583185452,50,"['add', 'sub', 'mul', 'div']",,10,0.230259006,0.300803593,x1*(x1**2*x2**2 + x1*x3**2 + x2**2*x3 + x2*x3**3 + 1),3,5,3,0.01,8.2384,1.8646,4.7227,118.48,0.349217656
371,5000,0.02,0.058241587,45.53614998,0.058238178,0.058229564,0.063309063,0.060337633,1.653474098,601.1786158,600.9203858,63.10485053,46.14844203,4.206290446,50,"['add', 'sub', 'mul', 'div']",,10,0.058229564,0.060337633,x1*(x1**2 + x1 + 1),1,3,3,0.02,4.252,1.2884,2.9942,20.038,0.845465515
372,5000,0.02,0.053641888,43.44716024,0.054041407,0.053535832,0.063255098,0.06269732,2.346768281,602.4765286,602.2713742,83.32040834,92.05850124,2.342479861,50,"['add', 'sub', 'mul', 'div']",,10,0.053535832,0.06269732,2*x3**2,3,2,3,0.005,2.3864,2.6554,2.6575,8.2248,-0.00366484
373,5000,0.02,5.324054066,50.17343116,4.669852218,4.643756988,3.599462182,2.240540388,7.285139209,768.394706,609.2737305,771.6673479,1007.711218,7.518438699,50,"['add', 'sub', 'mul', 'div']",,10,4.669852218,2.240540388,x1**2*x3**2*x4 + x1**2 + x1*x2**2*x3*x4**2*x5**2 + x1*x2*x3*x4**2 + x4**2,5,5,2,0.005,8.9576,2.527,4.6781,218.52,0.056641453
374,5000,0.02,2.775259833,46.58548951,1.661087252,0.354719957,0.52775663,0.266074098,4.068792111,604.7955391,608.8869262,793.0858834,199.5040219,4.224969778,50,"['add', 'sub', 'mul', 'div']",,10,1.661087252,0.266074098,x2*(x1*x2*x3**2*x4 + 1),4,2,2,0.01,4.4313,0.0318,2.211,72.345,0.071835563
375,5000,0.02,0.043448712,48.10410643,0.043778215,0.043481016,0.056173184,0.04731291,2.704346042,604.3906438,600.2604444,121.8779037,58.18748236,2.906459422,50,"['add', 'sub', 'mul', 'div']",,10,0.043778215,0.04731291,x1*(2*x2 + 1),2,3,1,0.005,2.9382,-0.0204,2.145,19.501,0.134191646
376,5000,0.02,0.142217508,58.29028726,0.701415764,0.142398585,0.598631251,0.182741735,11.73556775,602.3972712,607.1683378,585.9054577,70.52017927,14.89816241,50,"['add', 'sub', 'mul', 'div']",,10,0.701415764,0.182741735,x1**3*x2**3 + x1**3*x2**2 + x1**3 + x1**2*x2**3 + x2**3,2,5,3,0.01,14.366,-0.1832,7.3135,187.89,0.379259515
377,5000,0.02,0.101162837,43.90392923,0.101131758,0.101146796,0.104756682,0.104925149,0.10116161,602.9125135,600.0744519,42.57107496,40.70637417,5.866524448,50,"['add', 'sub', 'mul', 'div']",,10,0.101131758,0.104756682,5*x1,1,5,1,0.005,5.7811,-0.0722,5.0028,20.456,0.999701672
378,5000,0.02,0.032794146,45.3732245,0.032826457,0.032761212,0.044867435,0.038732917,1.360890416,602.6233406,601.0693583,130.2112172,71.06861329,2.121721912,50,"['add', 'sub', 'mul', 'div']",,10,0.032826457,0.038732917,x1 + x2*x3 + x2,3,3,1,0.005,2.0899,0.0236,1.6338,14.744,0.588577449
379,5000,0.02,8.514516541,52.54154158,4.328940848,3.284200971,2.462531292,1.440483873,12.3157212,608.9703948,600.498744,603.2686253,247.3945141,12.29653478,50,"['add', 'sub', 'mul', 'div']",,10,3.284200971,1.440483873,x1**2*x2**2*x3**2*x4**2 + x1**2 + x2**2 + x4**2,4,4,2,0.02,11.619,7.2614,7.2616,194.59,-0.003148251
380,5000,0.02,0.059059843,40.6629858,0.059096094,0.0590433,0.062473465,0.06208305,0.059084414,602.7789025,601.4265783,27.8988831,27.46970844,3.463656461,50,"['add', 'sub', 'mul', 'div']",,10,0.059096094,0.06208305,3*x1,1,3,1,0.005,3.4735,0.109,3.0168,12.216,0.999708749
381,5000,0.02,2.748215977,46.64263058,0.632801232,0.905766529,0.491069349,0.3661681,2.753467849,647.1242316,602.095305,368.8614671,628.754755,3.002651647,50,"['add', 'sub', 'mul', 'div']",,10,0.632801232,0.3661681,x2*(x1*x3**2*x4 + 1),4,2,2,0.005,2.9297,0.0112,1.7863,49.836,0.157717036
382,5000,0.02,0.07627735,51.07454324,0.076308453,0.076273929,0.086341448,0.078844584,2.566680119,601.7879589,600.3622501,87.14072108,44.84482646,5.842388349,50,"['add', 'sub', 'mul', 'div']",,10,0.076273929,0.078844584,x1**2*(2*x1 + 1),1,3,3,0.01,6.1428,1.3334,3.9859,32.15,0.80567397
383,5000,0.02,0.06435258,48.88878369,0.084899231,0.064348065,0.078802259,0.071419211,2.761575468,626.6014011,709.0840402,112.8359563,110.5715401,3.863659856,50,"['add', 'sub', 'mul', 'div']",,10,0.064348065,0.071419211,x1**2*x2 + 2*x1**2 + x2,2,4,3,0.03,3.8257,2.6552,3.2156,19.579,0.488451659
384,5000,0.02,1.995996517,50.50245833,1.055430489,0.97181867,0.629764116,0.519216641,2.738172198,610.5665147,620.6466315,550.5521543,711.4612014,2.730090092,50,"['add', 'sub', 'mul', 'div']",,10,1.055430489,0.519216641,x3*x4*(x1*x2*x5 + x1 + 1),5,3,1,0.01,2.863,0.0033,1.6133,59.802,-0.005932878
385,5000,0.02,0.101950718,50.93324065,0.100414586,0.100409289,0.10114691,0.100695225,0.100360827,600.3204296,606.5982635,54.07384276,49.59088945,5.802627163,50,"['add', 'sub', 'mul', 'div']",,10,0.100409289,0.100695225,5*x1,1,5,1,0.01,5.7729,-0.0354,4.9915,20.325,0.999699743
386,5000,0.02,0.121496237,50.65058398,0.12034577,0.118788482,0.134151224,0.121175887,4.369912872,607.9749324,602.6734982,99.17848444,39.14030576,9.589250809,50,"['add', 'sub', 'mul', 'div']",,10,0.118788482,0.121175887,x1**2*(3*x1 + 2),1,5,3,0.01,9.3948,2.6083,6.0167,48.111,0.792297762
387,5000,0.02,6.062182341,48.70277452,3.058705208,3.801677867,1.696988232,1.982662333,6.237715988,601.7508326,618.9448638,421.9424231,490.5509849,6.589401468,50,"['add', 'sub', 'mul', 'div']",,10,3.058705208,1.696988232,x1*x5*(x1*x2*x3**2 + x1*x4**2 + x2*x3**2*x4),5,3,2,0.01,6.3544,0.0469,3.0261,148.02,0.103819157
388,5000,0.02,2.712111993,48.48460031,0.909539439,0.777917604,0.27006981,0.214801844,4.150443722,615.0672712,601.7381866,291.2857637,476.9735105,5.558953363,50,"['add', 'sub', 'mul', 'div']",,10,0.777917604,0.214801844,2*x1*x4**2 + x2**2*x3**2 + x2**2*x4 + x3,4,5,2,0.03,5.5497,1.6011,4.0975,49.953,0.442545012
389,5000,0.02,6.114530767,42.75454307,1.983166516,2.469951859,1.161841709,1.026968739,6.431558114,609.5843461,604.5221493,501.1374137,718.8190122,8.336965685,50,"['add', 'sub', 'mul', 'div']",,10,2.469951859,1.026968739,x1**2*x2**2*x3**2*x4 + x1*x2**2 + x2**2*x3*x4**2 + x3**3,4,4,3,0.02,9.0945,-0.2323,4.9268,203.46,0.404797958
390,5000,0.02,5.520819435,42.96354532,3.16861214,3.098750445,0.874777064,1.07864894,6.098019097,601.4776049,607.9803843,487.9338124,481.3213046,6.749622506,50,"['add', 'sub', 'mul', 'div']",,10,3.098750445,0.874777064,x1**2 + x1*x2**2*x4**2*x5**2 + x4**2,5,3,2,0.005,6.7953,2.7358,4.0822,154.59,0.182834896
