,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
47,0-atici.csv,4.636392819,31.48835182,3.786618164,3.761612218,6.392810062,4.150888501,4.316777127,600.1976948,600.1752751,15.05013776,87.24481678,6.837223731,50,"['add', 'sub', 'mul', 'div']",,10,
48,0-atici.csv,3.336819023,29.83575439,2.300549052,2.507355142,5.004707831,3.014641008,3.170765592,600.9756765,605.0844092,13.43832755,35.62561202,6.458174462,50,"['add', 'sub', 'mul', 'div']",,10,
49,0-atici.csv,3.597741538,26.85774112,3.009507009,3.050205255,2.853155677,2.95242897,3.078387386,600.5692587,600.1791437,86.09567857,66.24806881,5.703808545,50,"['add', 'sub', 'mul', 'div']",,10,
50,0-guo1ys.csv,53.62528277,247.0090749,29.30668954,29.98523253,38.55914484,35.89630745,42.11821058,713.3445301,661.7758493,5513.978048,5084.098289,122.2435187,50,"['add', 'sub', 'mul', 'div']",,10,
51,0-guo1ys.csv,51.58384864,234.1197999,30.67382485,30.3552282,38.06091061,35.97987248,42.44274237,688.1731303,649.2521715,3760.760413,3819.387958,122.2916381,50,"['add', 'sub', 'mul', 'div']",,10,
52,0-guo1ys.csv,61.56207892,203.8885944,29.57917534,29.91281213,38.08376788,37.31953336,42.79261947,643.2877295,739.9150977,5146.389185,5476.433023,124.2762514,50,"['add', 'sub', 'mul', 'div']",,10,
53,0-guo1ys.csv,45.92686121,272.3474271,29.37625161,35.34533432,38.45342913,34.97535279,42.08910286,834.4777596,718.572015,2369.373994,4033.601164,124.4811159,50,"['add', 'sub', 'mul', 'div']",,10,
54,0-guo1ys.csv,51.64628148,144.624851,28.65494168,28.67470007,38.02022665,35.57593734,41.46724193,730.9117801,721.3368566,2957.171963,1153.217949,123.0100078,50,"['add', 'sub', 'mul', 'div']",,10,
55,0-guo1ys.csv,57.39701388,279.2979012,29.3913183,29.42633685,38.76455559,36.12917886,52.90219991,659.5890095,800.9468811,2968.99966,5575.429288,123.2006609,50,"['add', 'sub', 'mul', 'div']",,10,
56,0-guo1ys.csv,60.43159801,233.9772961,28.83630528,29.19513648,38.22083404,35.78054013,41.94775152,653.6257012,654.0716119,2263.920094,3399.939375,123.0494507,50,"['add', 'sub', 'mul', 'div']",,10,
57,0-guo1ys.csv,52.07651768,148.1946137,30.13723901,38.69136369,39.49607346,36.58186863,42.30543045,748.9197946,616.8343334,1408.692643,1586.439028,123.9787677,50,"['add', 'sub', 'mul', 'div']",,10,
58,0-guo1ys.csv,54.49055495,335.853812,51.9563516,31.46040968,38.24655294,35.94533594,42.21373128,848.8721468,762.0294516,2698.430404,4077.800318,122.2279026,50,"['add', 'sub', 'mul', 'div']",,10,
59,0-guo1ys.csv,47.42021156,256.3954098,29.48529598,29.23683346,37.64974416,35.15299048,42.25777488,805.8408554,741.1076021,3288.561704,1774.158587,122.3536703,50,"['add', 'sub', 'mul', 'div']",,10,
60,0-guo1ys.csv,61.85894698,156.8006096,32.76331599,28.88326321,37.96407831,36.21016959,41.94775152,805.4829731,792.4968083,4416.798644,4560.287126,123.0494507,50,"['add', 'sub', 'mul', 'div']",,10,
61,0-guo1ys.csv,54.7685294,227.0425105,28.28611076,28.8166861,36.77128047,34.02849331,51.59287798,651.6844437,1011.818767,4221.442076,2965.085118,122.4902425,50,"['add', 'sub', 'mul', 'div']",,10,
62,0-guo1ys.csv,57.51788956,127.6783817,29.49785812,29.55639726,38.91079229,36.21453428,41.64728392,849.4144394,845.5567341,3737.544513,3751.467218,122.1639761,50,"['add', 'sub', 'mul', 'div']",,10,
63,0-guo1ys.csv,51.91350738,259.5911226,29.52484993,28.86753263,37.02152993,35.73573422,41.84796284,668.5829983,787.9754105,3608.954906,2846.401786,123.5321538,50,"['add', 'sub', 'mul', 'div']",,10,
64,0-guo1ys.csv,62.79710931,253.3523483,30.83273107,29.83980253,37.39375656,36.93961057,42.74889831,691.0804067,724.4603348,3828.981679,2005.77582,122.8278427,50,"['add', 'sub', 'mul', 'div']",,10,
65,0-guo1ys.csv,51.4584847,179.8551078,30.4725565,28.38550035,37.44444498,34.732782,41.77256041,627.8771341,812.7880039,3023.19111,1816.460073,124.0941407,50,"['add', 'sub', 'mul', 'div']",,10,
